date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-26 05:41:44,LordofKavaka,,1,1,12,"Her belly! #HelenaJustinaSpam #pet #cat",,,#HelenaJustinaSpam #pet #cat,1265156143589896193,https://twitter.com/LordofKavaka/status/1265156143589896193
2020-05-26 05:39:11,AuthorDelaneyW,,1,0,9,"Just walked into my bedroom and found the pupper like this Master Hide &amp; Seeker. #DogLife #Pet *ignore the mess, I do **yes-that’s a bed at the foot of our bed. P has night terrors when stressed or worried (like now) and his room is upstairs. This is safer and better. ",,,#DogLife #Pet,1265155502490529793,https://twitter.com/AuthorDelaneyW/status/1265155502490529793
2020-05-26 05:37:04,MeowMoeDotCom,,0,4,9,"Funny, Cute Cats Playing Plastic/Paper bags; Curious ... #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #CuteCatsVideos #CuteKittensVideos #CuteKittiesVideos #CuteMeowVideos https://www.meowmoe.com/641295/funny-cute-cats-playing-plastic-paper-bags-curious-cat-grabs-camera-at-the-end/",,,#Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #CuteCatsVideos #CuteKittensVideos #CuteKittiesVideos #CuteMeowVideos,1265154968727826432,https://twitter.com/MeowMoeDotCom/status/1265154968727826432
2020-05-26 05:34:22,mccoygary,,0,2,0,"The Flying McCoys for May 26, 2020 | http://GoComics.com https://www.gocomics.com/theflyingmccoys/2020/05/26 via @GoComics #dog #bacon #friend #bff #pet",,@gocomics,#dog #bacon #friend #bff #pet,1265154290563321856,https://twitter.com/mccoygary/status/1265154290563321856
2020-05-26 05:26:04,MeowMoeDotCom,,1,1,13,"It's Pixie's first #Birthday! I may have gone #Overboard with #Toys.. #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #Pixies https://www.meowmoe.com/641293/its-pixies-first-birthday-i-may-have-gone-overboard-with-toys/",,,#Birthday #Overboard #Toys #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #Pixies,1265152201774764032,https://twitter.com/MeowMoeDotCom/status/1265152201774764032
2020-05-26 05:24:04,MeowMoeDotCom,,0,0,4,"My friend's new #Kitty #Flash #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #Friends https://www.meowmoe.com/641291/my-friends-new-kitty-flash/",,,#Kitty #Flash #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #Friends,1265151697111994368,https://twitter.com/MeowMoeDotCom/status/1265151697111994368
2020-05-26 05:22:41,SachinA86514253,,0,0,1,"Birds lover click double tap and tell your fav birds in comment section #parrot #bird #parrots #parrotsofinstagram #birds #birdsofinstagram #pet #cute #parrotlover #love #birb #animals #parakeet #pets… https://www.instagram.com/p/CAo6FXJDuI0/?igshid=qdma79hoimr",,,#parrot #bird #parrots #parrotsofinstagram #birds #birdsofinstagram #pet #cute #parrotlover #love #birb #animals #parakeet #pets,1265151348280090625,https://twitter.com/SachinA86514253/status/1265151348280090625
2020-05-26 05:10:08,bunnymoonevents,,0,3,16,"Fred teaching colors and shapes to the little bunnies in Bundergarten. #rabbit #rabbits #rabbitlove #rabbitlife #bunny #bunnies #bunnylove #bunnylovers #bunnyrabbit #bunnylife #pet #pets #cute",,,#rabbit #rabbits #rabbitlove #rabbitlife #bunny #bunnies #bunnylove #bunnylovers #bunnyrabbit #bunnylife #pet #pets #cute,1265148189994356738,https://twitter.com/bunnymoonevents/status/1265148189994356738
2020-05-26 05:03:23,P_ValeChan,,0,0,1," May. 26. 2020 Happy new week!!!! ° #cleo #pomeranian #pomeranianlove #pomerania #pomeranianworld #pom #pomeraniansofinstagram #pomeranianpuppy #dog #pomstagram #spitz #instapom #poms #pompom #pet #minipom… https://www.instagram.com/p/CAo33pIi5kF/?igshid=155qyzyfr31g4",,,#cleo #pomeranian #pomeranianlove #pomerania #pomeranianworld #pom #pomeraniansofinstagram #pomeranianpuppy #dog #pomstagram #spitz #instapom #poms #pompom #pet #minipom,1265146489967464449,https://twitter.com/P_ValeChan/status/1265146489967464449
2020-05-26 05:02:55,MorphMarket,,0,0,8,"T Negative Albino Female Blood Python by Gopher Your Pet, $800 #snake #reptiles #pets #pet #morph #morphs #herp https://www.morphmarket.com/us/c/reptiles/pythons/blood-pythons/347104?utm_source=twitter&amp;utm_medium=post&amp;utm_content=347104&amp;utm_campaign=twitter-featured-ad",,,#snake #reptiles #pets #pet #morph #morphs #herp,1265146374632472578,https://twitter.com/MorphMarket/status/1265146374632472578
2020-05-26 05:02:02,pragmaticmom,,0,2,11,"Top 10: Best Coping with Loss of Pets Books for Kids https://bit.ly/2Sd88gX via @pragmaticmom #grief #grieving #pet #picturebooks #KidLit",,@pragmaticmom,#grief #grieving #pet #picturebooks #KidLit,1265146151805825024,https://twitter.com/pragmaticmom/status/1265146151805825024
